geoid,FIPS,geoid20,year,total_pop,snap_accepting_count,snap_rate
1400000U,06037199802,199802,2021,2207,8,36.248302
1400000U,06037199900,199900,2021,2540,4,15.748032
1400000U,06037201110,201110,2021,2331,1,4.2900043
1400000U,06037201200,201200,2021,2791,1,3.5829451
1400000U,06037201301,201301,2021,3650,2,5.4794521
1400000U,06037201401,201401,2021,4458,6,13.45895
1400000U,06037201402,201402,2021,4464,1,2.2401433
1400000U,06037201501,201501,2021,5360,3,5.5970149
1400000U,06037201503,201503,2021,3184,4,12.562814
1400000U,06037201504,201504,2021,2061,2,9.7040272
1400000U,06037201601,201601,2021,2401,2,8.3298626
1400000U,06037201602,201602,2021,2936,2,6.8119893
1400000U,06037201700,201700,2021,5029,1,1.9884669
1400000U,06037203100,203100,2021,4576,2,4.3706293
1400000U,06037203200,203200,2021,5339,4,7.4920397
1400000U,06037203300,203300,2021,1863,1,5.3676867
1400000U,06037203500,203500,2021,3048,3,9.8425198
1400000U,06037203601,203601,2021,2694,1,3.7119524
1400000U,06037203602,203602,2021,1844,1,5.4229937
1400000U,06037203710,203710,2021,3516,5,14.220705
1400000U,06037203720,203720,2021,3882,5,12.879959
1400000U,06037203800,203800,2021,4637,2,4.3131337
1400000U,06037203900,203900,2021,3181,4,12.574662
1400000U,06037204110,204110,2021,3372,2,5.9311981
1400000U,06037204120,204120,2021,2638,2,7.581501
1400000U,06037204200,204200,2021,3459,3,8.673027
1400000U,06037204300,204300,2021,5357,9,16.800447
1400000U,06037204410,204410,2021,2633,4,15.191796
1400000U,06037204420,204420,2021,3088,4,12.953368
1400000U,06037204600,204600,2021,4092,7,17.10655
1400000U,06037204700,204700,2021,5224,6,11.485452
1400000U,06037204810,204810,2021,4947,3,6.0642815
1400000U,06037204820,204820,2021,2242,2,8.9206066
1400000U,06037204910,204910,2021,3162,3,9.4876661
1400000U,06037204920,204920,2021,2535,3,11.834319
1400000U,06037205110,205110,2021,3478,2,5.7504311
1400000U,06037205120,205120,2021,3641,5,13.732491
1400000U,06037206010,206010,2021,3864,1,2.5879917
1400000U,06037206020,206020,2021,10614,1,0.9421519
1400000U,06037206050,206050,2021,2194,6,27.347311
1400000U,06037206051,206051,2021,1197,3,25.062656
1400000U,06037206052,206052,2021,3065,1,3.2626426
1400000U,06037206053,206053,2021,2973,1,3.3636057
1400000U,06037206201,206201,2021,2134,7,32.80225
1400000U,06037206202,206202,2021,1839,1,5.4377379
1400000U,06037206301,206301,2021,1819,7,38.482681
1400000U,06037206302,206302,2021,1822,1,5.4884744
1400000U,06037206303,206303,2021,2430,2,8.2304525
1400000U,06037207101,207101,2021,4054,2,4.9333992
1400000U,06037207102,207102,2021,3103,10,32.226879
1400000U,06037207103,207103,2021,2055,3,14.59854
1400000U,06037207303,207303,2021,2242,1,4.4603033
1400000U,06037207304,207304,2021,2101,2,9.5192766
1400000U,06037207305,207305,2021,717,2,27.894003
1400000U,06037207306,207306,2021,1978,2,10.111223
1400000U,06037207307,207307,2021,1461,1,6.8446269
1400000U,06037207308,207308,2021,1288,3,23.291925
1400000U,06037207400,207400,2021,2122,2,9.4250708
1400000U,06037207501,207501,2021,2022,1,4.9455986
1400000U,06037207502,207502,2021,3317,1,3.0147724
1400000U,06037207711,207711,2021,1881,6,31.897926
1400000U,06037207712,207712,2021,3947,7,17.734989
1400000U,06037207902,207902,2021,6236,2,3.2071841
1400000U,06037208002,208002,2021,4545,7,15.40154
1400000U,06037208302,208302,2021,5007,6,11.983224
1400000U,06037208401,208401,2021,4217,2,4.7427082
1400000U,06037208402,208402,2021,2856,3,10.504202
1400000U,06037208501,208501,2021,2590,1,3.8610039
1400000U,06037208502,208502,2021,3993,3,7.5131478
1400000U,06037208610,208610,2021,4382,3,6.846189
1400000U,06037208620,208620,2021,4010,4,9.9750624
1400000U,06037208710,208710,2021,4846,1,2.0635576
1400000U,06037208720,208720,2021,3602,6,16.657413
1400000U,06037208801,208801,2021,3198,2,6.2539086
1400000U,06037208802,208802,2021,2864,1,3.4916201
1400000U,06037208902,208902,2021,2529,5,19.77066
1400000U,06037208903,208903,2021,3758,4,10.64396
1400000U,06037208904,208904,2021,4197,4,9.5306168
1400000U,06037209103,209103,2021,3797,2,5.2673163
1400000U,06037209105,209105,2021,3496,3,8.5812359
1400000U,06037209106,209106,2021,2382,1,4.198153
1400000U,06037209201,209201,2021,3036,1,3.2938077
1400000U,06037209202,209202,2021,1621,1,6.1690316
1400000U,06037209300,209300,2021,4619,7,15.154796
1400000U,06037209401,209401,2021,3956,6,15.166835
1400000U,06037209402,209402,2021,4062,12,29.542097
1400000U,06037209403,209403,2021,4420,3,6.7873302
1400000U,06037209510,209510,2021,2946,3,10.183299
1400000U,06037209520,209520,2021,2678,4,14.93652
1400000U,06037209820,209820,2021,2741,4,14.593214
1400000U,06037210010,210010,2021,3336,3,8.9928055
1400000U,06037211000,211000,2021,5204,4,7.6863952
1400000U,06037211121,211121,2021,2228,1,4.4883304
1400000U,06037211122,211122,2021,2750,4,14.545455
1400000U,06037211123,211123,2021,1513,2,13.218771
1400000U,06037211124,211124,2021,4292,4,9.319665
1400000U,06037211201,211201,2021,2602,2,7.6863952
1400000U,06037211202,211202,2021,2334,1,4.2844901
1400000U,06037211310,211310,2021,3507,4,11.40576
1400000U,06037211320,211320,2021,3399,5,14.710209
1400000U,06037211410,211410,2021,3017,2,6.6291018
1400000U,06037211420,211420,2021,3451,7,20.283976
1400000U,06037211703,211703,2021,4589,3,6.5373721
1400000U,06037211704,211704,2021,2704,2,7.3964496
1400000U,06037211802,211802,2021,4457,3,6.7309852
1400000U,06037211803,211803,2021,3326,1,3.0066144
1400000U,06037211804,211804,2021,3113,3,9.6370058
1400000U,06037211910,211910,2021,4075,1,2.4539878
1400000U,06037211921,211921,2021,2261,2,8.845644
